candidate_row_id,series_code,dataset_code,provider_code,source_url,http_status,content_type,byte_size,checksum_algorithm,checksum,source_snapshot_id,local_path,json_parse_status,top_level_keys,series_docs_count,doc_keys,values_type,observations_type,periods_type,values_pair_count,observations_pair_count,extracted_pair_count,extraction_path,latest_period,latest_value_present,observation_extraction_status,error
brazil-param1-pilot-001,21.867.5320,QCL,FAO,https://api.db.nomics.world/v22/series/FAO/QCL/21.867.5320?observations=1,200,application/json,16122,sha256,ea4125b4d2b5fc682fa4f8a3ec7cd6622154195890231f99a45ed689eccfa1c4,snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-867-5320.json,fetched-source-snapshots/brazil-observations-param1/snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-867-5320.json,parsed,_meta|dataset|errors|provider|series,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,,,,0,0,0,,,false,no_observation_pairs_found,
brazil-param1-pilot-002,21.977.5320,QCL,FAO,https://api.db.nomics.world/v22/series/FAO/QCL/21.977.5320?observations=1,200,application/json,16107,sha256,b44f2b387b5cf8118358b76d3d2aa5abd853f32dc51428fe2cbbdf220179666e,snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-977-5320.json,fetched-source-snapshots/brazil-observations-param1/snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-977-5320.json,parsed,_meta|dataset|errors|provider|series,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,,,,0,0,0,,,false,no_observation_pairs_found,
brazil-param1-pilot-003,21.1017.5320,QCL,FAO,https://api.db.nomics.world/v22/series/FAO/QCL/21.1017.5320?observations=1,200,application/json,16110,sha256,4d2e7abf80d59c9c0d641febbb2c9ff65a77e6f6499a37108ec3a570b3d85cd9,snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-1017-5320.json,fetched-source-snapshots/brazil-observations-param1/snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-1017-5320.json,parsed,_meta|dataset|errors|provider|series,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,,,,0,0,0,,,false,no_observation_pairs_found,
brazil-param1-pilot-004,21.1035.5320,QCL,FAO,https://api.db.nomics.world/v22/series/FAO/QCL/21.1035.5320?observations=1,200,application/json,16123,sha256,41a823bfa4ddc8bc88e540423e63bff822a46a2bba30827987a35082304dffaa,snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-1035-5320.json,fetched-source-snapshots/brazil-observations-param1/snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-1035-5320.json,parsed,_meta|dataset|errors|provider|series,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,,,,0,0,0,,,false,no_observation_pairs_found,
brazil-param1-pilot-005,21.1097.5320,QCL,FAO,https://api.db.nomics.world/v22/series/FAO/QCL/21.1097.5320?observations=1,200,application/json,16108,sha256,52678c630eec4b3ac5de8e633f3ed2ac949c608d80e279c24c9b64e041fbde89,snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-1097-5320.json,fetched-source-snapshots/brazil-observations-param1/snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-1097-5320.json,parsed,_meta|dataset|errors|provider|series,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,,,,0,0,0,,,false,no_observation_pairs_found,
brazil-param1-pilot-006,21.1309.5157,RP,FAO,https://api.db.nomics.world/v22/series/FAO/RP/21.1309.5157?observations=1,200,application/json,8865,sha256,906e2bb26f8ee1b0f0f7dc890700bd1a14bc66d38d773fd27f9c491acb604ac5,snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-1309-5157.json,fetched-source-snapshots/brazil-observations-param1/snapshot.release-candidate-2026-07-09.brazil-observations-param1.21-1309-5157.json,parsed,_meta|dataset|errors|provider|series,1,dataset_code|dataset_name|dimensions|indexed_at|provider_code|series_code|series_name,,,,0,0,0,,,false,no_observation_pairs_found,
